Ingredient,EffectOne,EffectTwo,EffectThree,EffectFour
Abecean Longfin,Weakness to Frost,Fortify Sneak,Weakness to Poison,Fortify Restoration
Bear Claws,Restore Stamina,Fortify Health,Fortify One-Handed,Damage Magicka Regen
Bee,Restore Stamina,Ravage Stamina,Regenerate Stamina,Weakness to Shock
Beehive Husk,Resist Poison,Fortify Light Armor,Fortify Sneak,Fortify Destruction
Berit's Ashes,Damage Stamina,Resist Fire,Fortify Conjuration,Ravage Stamina
Bleeding Crown,Weakness to Fire,Fortify Block,Weakness to Poison,Resist Magic
Blisterwort,Damage Stamina,Frenzy,Restore Health,Fortify Smithing
Blue Butterfly Wing,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting
Blue Dartwing,Resist Shock,Fortify Pickpocket,Restore Health,Fear
Blue Mountain Flower,Restore Health,Fortify Conjuration,Fortify Health,Damage Magicka Regen
Bone Meal,Damage Stamina,Resist Fire,Fortify Conjuration,Ravage Stamina
Briar Heart,Restore Magicka,Fortify Block,Paralysis,Fortify Magicka
Butterfly Wing,Restore Health,Fortify Barter,Lingering Damage Stamina,Damage Magicka
Canis Root,Damage Stamina,Fortify One-Handed,Fortify Marksman,Paralysis
Charred Skeever Hide,Restore Stamina,Cure Disease,Resist Poison,Restore Health
Chaurus Eggs,Weakness to Poison,Fortify Stamina,Damage Magicka,Invisibility
Chicken's Egg,Resist Magic,Damage Magicka Regen,Waterbreathing,Lingering Damage Stamina
Creep Cluster,Restore Magicka,Damage Stamina Regen,Fortify Carry Weight,Weakness to Magic
Crimson Nirnroot,Damage Health,Damage Stamina,Invisibility,Resist Magic
Cyrodilic Spadetail,Damage Stamina,Fortify Restoration,Fear,Ravage Health
Daedra Heart,Restore Health,Damage Stamina Regen,Damage Magicka,Fear
Deathbell,Damage Health,Ravage Stamina,Slow,Weakness to Poison
Dragon's Tongue,Resist Fire,Fortify Barter,Fortify Illusion,Fortify Two-Handed
Dwarven Oil,Weakness to Magic,Fortify Illusion,Regenerate Magicka,Restore Magicka
Ectoplasm,Restore Magicka,Fortify Destruction,Fortify Magicka,Damage Health
Elves Ear,Restore Magicka,Fortify Marksman,Weakness to Frost,Resist Fire
Eye of Sabre Cat,Restore Stamina,Ravage Health,Damage Magicka,Restore Health
Falmer Ear,Damage Health,Frenzy,Resist Poison,Fortify Lockpicking
Fine-Cut Void Salts,Weakness to Shock,Resist Magic,Damage Health,Fortify Magicka
Fire Salts,Weakness to Frost,Resist Fire,Restore Magicka,Regenerate Magicka
Fly Amanita,Resist Fire,Fortify Two-Handed,Frenzy,Regenerate Stamina
Frost Mirriam,Resist Frost,Fortify Sneak,Ravage Magicka,Damage Stamina Regen
Frost Salts,Weakness to Fire,Resist Frost,Restore Magicka,Fortify Conjuration
Garlic,Resist Poison,Fortify Stamina,Regenerate Magicka,Regenerate Health
Giant Lichen,Weakness to Shock,Ravage Health,Weakness to Poison,Restore Magicka
Giant's Toe,Damage Stamina,Fortify Health,Fortify Carry Weight,Damage Stamina Regen
Glow Dust,Damage Magicka,Damage Magicka Regen,Fortify Destruction,Resist Shock
Glowing Mushroom,Resist Shock,Fortify Destruction,Fortify Smithing,Fortify Health
Grass Pod,Resist Poison,Ravage Magicka,Fortify Alteration,Restore Magicka
Hagraven Claw,Resist Magic,Lingering Damage Magicka,Fortify Enchanting,Fortify Barter
Hagraven Feathers,Damage Magicka,Fortify Conjuration,Frenzy,Weakness to Shock
Hanging Moss,Damage Magicka,Fortify Health,Damage Magicka Regen,Fortify One-Handed
Hawk Beak,Restore Stamina,Resist Frost,Fortify Carry Weight,Resist Shock
Hawk Feathers,Cure Disease,Fortify Light Armor,Fortify One-Handed,Fortify Sneak
Histcarp,Restore Stamina,Fortify Magicka,Damage Stamina Regen,Waterbreathing
Honeycomb,Restore Stamina,Fortify Block,Fortify Light Armor,Ravage Stamina
Human Flesh,Damage Health,Paralysis,Restore Magicka,Fortify Sneak
Human Heart,Damage Health,Damage Magicka,Damage Magicka Regen,Frenzy
Ice Wraith Teeth,Weakness to Frost,Fortify Heavy Armor,Invisibility,Weakness to Fire
Imp Stool,Damage Health,Lingering Damage Health,Paralysis,Restore Health
Jarrin Root,Damage Health,Damage Magicka,Damage Stamina,Damage Magicka Regen
Jazbay Grapes,Weakness to Magic,Fortify Magicka,Regenerate Magicka,Ravage Health
Juniper Berries,Weakness to Fire,Fortify Marksman,Regenerate Health,Damage Stamina Regen
Large Antlers,Restore Stamina,Fortify Stamina,Slow,Damage Stamina Regen
Lavender,Resist Magic,Fortify Stamina,Ravage Magicka,Fortify Conjuration
Luna Moth Wing,Damage Magicka,Fortify Light Armor,Regenerate Health,Invisibility
Moon Sugar,Weakness to Fire,Resist Frost,Restore Magicka,Regenerate Magicka
Mora Tapinella,Restore Magicka,Lingering Damage Health,Regenerate Stamina,Fortify Illusion
Mudcrab Chitin,Restore Stamina,Cure Disease,Resist Poison,Resist Fire
Namira's Rot,Damage Magicka,Fortify Lockpicking,Fear,Regenerate Health
Nightshade,Damage Health,Damage Magicka Regen,Lingering Damage Stamina,Fortify Destruction
Nirnroot,Damage Health,Damage Stamina,Invisibility,Resist Magic
Nordic Barnacle,Damage Magicka,Waterbreathing,Regenerate Health,Fortify Pickpocket
Orange Dartwing,Restore Stamina,Ravage Magicka,Fortify Pickpocket,Lingering Damage Health
Pearl,Restore Stamina,Fortify Block,Restore Magicka,Resist Shock
Pine Thrush Egg,Restore Stamina,Fortify Lockpicking,Weakness to Poison,Resist Shock
Powdered Mammoth Tusk,Restore Stamina,Fortify Sneak,Weakness to Fire,Fear
Purple Mountain Flower,Restore Stamina,Fortify Sneak,Lingering Damage Magicka,Resist Frost
Red Mountain Flower,Restore Magicka,Ravage Magicka,Fortify Magicka,Damage Health
River Betty,Damage Health,Fortify Alteration,Slow,Fortify Carry Weight
Rock Warbler Egg,Restore Health,Fortify One-Handed,Damage Stamina,Weakness to Magic
Sabre Cat Tooth,Restore Stamina,Fortify Heavy Armor,Fortify Smithing,Weakness to Poison
Salt Pile,Weakness to Magic,Fortify Restoration,Slow,Regenerate Magicka
Scaly Pholiota,Weakness to Magic,Fortify Illusion,Regenerate Stamina,Fortify Carry Weight
Silverside Perch,Restore Stamina,Damage Stamina Regen,Ravage Health,Resist Frost
Skeever Tail,Damage Stamina Regen,Ravage Health,Damage Health,Fortify Light Armor
Slaughterfish Egg,Resist Poison,Fortify Pickpocket,Lingering Damage Health,Fortify Stamina
Slaughterfish Scales,Resist Frost,Lingering Damage Health,Fortify Heavy Armor,Fortify Block
Small Antlers,Weakness to Poison,Fortify Restoration,Lingering Damage Stamina,Damage Health
Small Pearl,Restore Stamina,Fortify One-Handed,Fortify Restoration,Resist Frost
Snowberries,Resist Fire,Fortify Enchanting,Resist Frost,Resist Shock
Spider Egg,Damage Stamina,Damage Magicka Regen,Fortify Lockpicking,Fortify Marksman
Spriggan Sap,Damage Magicka Regen,Fortify Enchanting,Fortify Smithing,Fortify Alteration
Swamp Fungal Pod,Resist Shock,Lingering Damage Magicka,Paralysis,Restore Health
Taproot,Weakness to Magic,Fortify Illusion,Regenerate Magicka,Restore Magicka
Thistle Branch,Resist Frost,Ravage Stamina,Resist Poison,Fortify Heavy Armor
Torchbug Thorax,Restore Stamina,Lingering Damage Magicka,Weakness to Magic,Fortify Stamina
Troll Fat,Resist Poison,Fortify Two-Handed,Frenzy,Damage Health
Tundra Cotton,Resist Magic,Fortify Magicka,Fortify Block,Fortify Barter
Vampire Dust,Invisibility,Restore Magicka,Regenerate Health,Cure Disease
Void Salts,Weakness to Shock,Resist Magic,Damage Health,Fortify Magicka
Wheat,Restore Health,Fortify Health,Damage Stamina Regen,Lingering Damage Magicka
White Cap,Weakness to Frost,Fortify Heavy Armor,Restore Magicka,Ravage Magicka
Wisp Wrappings,Restore Stamina,Fortify Destruction,Fortify Carry Weight,Resist Magic
Hawk's Egg,Resist Magic,Damage Magicka Regen,Waterbreathing,Lingering Damage Stamina
Salmon Roe,Restore Stamina,Waterbreathing,Fortify Magicka,Regenerate Magicka
Ancestor Moth Wing,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting
Chaurus Hunter Antennae,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting
Gleamblossom,Resist Magic,Fear,Regenerate Health,Paralysis
Poison Bloom,Damage Health,Slow,Fortify Carry Weight,Fear
Yellow Mountain Flower,Resist Poison,Fortify Restoration,Fortify Health,Damage Stamina Regen
Ash Creep Cluster,Damage Stamina,Invisibility,Resist Fire,Fortify Destruction
Ash Hopper Jelly,Restore Health,Fortify Light Armor,Resist Shock,Weakness to Frost
Ashen Grass Pod,Resist Fire,Weakness to Shock,Fortify Lockpicking,Fortify Sneak
Boar Tusk,Fortify Stamina,Fortify Health,Fortify Block,Frenzy
Burnt Spriggan Wood,Weakness to Fire,Fortify Alteration,Damage Magicka Regen,Slow
Emperor Parasol Moss,Damage Health,Fortify Magicka,Regenerate Health,Fortify Two-Handed
Felsaad Tern Feathers,Restore Health,Fortify Light Armor,Cure Disease,Resist Magic
Netch Jelly,Paralysis,Fortify Carry Weight,Restore Stamina,Fear
Scathecraw,Ravage Health,Ravage Stamina,Ravage Magicka,Lingering Damage Health
Spawn Ash,Ravage Stamina,Resist Fire,Fortify Enchanting,Ravage Magicka
Trama Root,Weakness to Shock,Fortify Carry Weight,Damage Magicka,Slow
Alocasia Fruit,Regenerate Stamina,Light,Ravage Magicka,Regenerate Health
Ambrosia,Restore Health,Regenerate Health,Fortify Health,Cure Poison
Angelfish,Regenerate Health,Resist Fire,Fortify Marksman,Waterbreathing
Angler Larvae,Lingering Damage Health,Regenerate Stamina,Waterbreathing,Fortify Two-Handed
Aster Bloom Core,Resist Magic,Fortify Light Armor,Fortify Block,Paralysis
Bittergreen Petals,Lingering Damage Stamina,Invisibility,Cure Poison,Damage Magicka
Blind Watcher's Eye,Light,Fortify Magicka,Fortify Alteration,Spell Absorption
Bliss Bug Thorax,Weakness to Fire,Resist Fire,Fortify Heavy Armor,Fortify Illusion
Blister Pod Cap,Restore Magicka,Fortify Magicka,Night Eye,Invisibility
Bloodgrass,Invisibility,Resist Poison,Slow,Fortify Health
Bog Beacon,Restore Magicka,Fortify Heavy Armor,Fear,Damage Stamina
Bungler's Bane,Slow,Ravage Stamina,Damage Stamina Regen,Resist Magic
Chokeberry,Damage Health,Ravage Health,Lingering Damage Health,Weakness to Poison
Chokeweed,Weakness to Frost,Restore Stamina,Cure Disease,Damage Magicka
Coda Flower,Damage Health,Lingering Damage Stamina,Ravage Magicka,Fortify Carry Weight
Comberry,Damage Stamina,Spell Absorption,Restore Magicka,Fortify Destruction
Congealed Putrescence,Ravage Health,Restore Magicka,Weakness to Fire,Fortify Conjuration
Corkbulb Root,Paralysis,Restore Health,Resist Shock,Fortify Marksman
Corrupted Human Heart,Damage Health,Damage Magicka,Damage Magicka Regen,Frenzy
Daedra Silk,Lingering Damage Stamina,Paralysis,Night Eye,Invisibility
Daedra Venin,Ravage Health,Paralysis,Fortify Destruction,Spell Absorption
Daedroth Teeth,Resist Frost,Light,Damage Magicka Regen,Regenerate Stamina
Dreugh Wax,Weakness to Magic,Frenzy,Fortify Enchanting,Fortify Smithing
Elytra Ichor,Restore Magicka,Invisibility,Slow,Fear
Fire Petal,Damage Health,Resist Fire,Spell Absorption,Paralysis
Flame Stalk,Restore Health,Resist Frost,Weakness to Fire,Invisibility
Fungus Stalk,Restore Magicka,Fortify Health,Fortify Stamina,Waterbreathing
Glassfish,Restore Magicka,Invisibility,Fortify Illusion,Fortify Persuasion
Gnarl Bark,Damage Health,Regenerate Health,Fortify Heavy Armor,Resist Fire
Gold Kanet,Paralysis,Ravage Health,Weakness to Frost,Fortify Smithing
Goldfish,Restore Stamina,Fortify Heavy Armor,Waterbreathing,Resist Frost
Green Butterfly Wing,Restore Magicka,Fear,Slow,Invisibility
Hackle-Lo Leaf,Restore Stamina,Paralysis,Waterbreathing,Fortify Restoration
Harrada,Damage Health,Damage Magicka,Paralysis,Damage Magicka Regen
Healing Salts,Weakness to Magic,Fortify Restoration,Slow,Regenerate Magicka
Heart of Order,Restore Health,Fortify Health,Fortify One-Handed,Fortify Two-Handed
Hunger Tongue,Weakness to Fire,Cure Disease,Cure Poison,Fortify Magicka
Hydnum Azure Giant Spore,Resist Frost,Fortify Health,Regenerate Health,Light
Hypha Facia,Weakness to Poison,Frenzy,Ravage Stamina,Resist Magic
Imp Gall,Damage Health,Weakness to Fire,Fortify Barter,Cure Poison
Ironwood Fruit,Restore Health,Resist Fire,Damage Stamina,Restore Magicka
Juvenile Mudcrab,Regenerate Stamina,Fortify Carry Weight,Cure Disease,Fortify Two-Handed
Kagouti Hide,Lingering Damage Stamina,Night Eye,Fortify Carry Weight,Resist Shock
Kresh Fiber,Weakness to Magic,Slow,Fortify Sneak,Fortify Pickpocket
Lichor,Restore Magicka,Regenerate Magicka,Fortify Magicka,Spell Absorption
Luminous Russula,Lingering Damage Stamina,Lingering Damage Health,Waterbreathing,Fear
Lyretail Anthias,Restore Magicka,Fortify Alteration,Fortify Conjuration,Fortify Carry Weight
Marshmerrow,Restore Health,Fortify Carry Weight,Weakness to Magic,Damage Stamina
Minotaur Horn,Resist Poison,Damage Magicka Regen,Regenerate Health,Regenerate Magicka
Mort Flesh,Damage Health,Damage Magicka,Damage Magicka Regen,Frenzy
Ogre's Teeth,Weakness to Shock,Resist Poison,Lingering Damage Magicka,Regenerate Health
Pearlfish,Restore Stamina,Resist Frost,Fortify Smithing,Fortify One-Handed
Purple Butterfly Wing,Regenerate Health,Regenerate Magicka,Regenerate Stamina,Paralysis
Pygmy Sunfish,Restore Stamina,Lingering Damage Magicka,Damage Magicka Regen,Fortify Restoration
Red Kelp Gas Bladder,Regenerate Stamina,Waterbreathing,Cure Disease,Fortify Magicka
Redwort Flower,Resist Frost,Cure Poison,Damage Health,Invisibility
Roobrush,Weakness to Magic,Fortify Sneak,Lingering Damage Health,Cure Poison
Rot Scale,Slow,Lingering Damage Health,Fear,Paralysis
Saltrice,Restore Stamina,Fortify Magicka,Damage Stamina Regen,Restore Health
Scalon Fin,Waterbreathing,Damage Health,Lingering Damage Magicka,Damage Magicka Regen
Screaming Maw,Regenerate Magicka,Fortify Alteration,Invisibility,Regenerate Health
Scrib Jelly,Regenerate Magicka,Cure Poison,Cure Disease,Regenerate Stamina
Scrib Jerky,Restore Stamina,Fortify Stamina,Paralysis,Waterbreathing
Simon Rodayne's Heart,Damage Health,Damage Magicka,Damage Magicka Regen,Frenzy
Sload Soap,Resist Fire,Fear,Fortify Conjuration,Fortify Alteration
Spadefish,Restore Health,Fortify Lockpicking,Fortify Pickpocket,Cure Disease
Spiddal Stick,Damage Health,Damage Magicka,Weakness to Fire,Restore Stamina
Steel-Blue Entoloma,Restore Magicka,Fortify Destruction,Resist Frost,Fortify Carry Weight
Stoneflower Petals,Weakness to Shock,Fortify One-Handed,Fortify Magicka,Fortify Enchanting
Thorn Hook,Lingering Damage Health,Paralysis,Regenerate Magicka,Regenerate Health
Void Essence,Restore Health,Fortify Health,Fortify Stamina,Regenerate Health
Watcher's Eye,Night Eye,Fortify Magicka,Fortify Illusion,Spell Absorption
Wild Grass Pod,Resist Poison,Ravage Magicka,Fortify Alteration,Restore Magicka
Wisp Stalk Caps,Damage Health,Weakness to Poison,Frenzy,Regenerate Stamina
Withering Moon,Restore Magicka,Spell Absorption,Fortify Light Armor,Cure Disease
Worm's Head Cap,Fortify Lockpicking,Night Eye,Fortify Carry Weight,Slow